givens unknowns bt_tot bt_avg dl_tot dl_avg
29 52 67915.6 3.39578 4544.66 0.227233
30 51 42048.3 2.10242 4401.91 0.220096
31 50 27810.6 1.39053 4280.13 0.214007
32 49 18536.2 0.926808 4127.42 0.206371
33 48 11152.6 0.557632 3842.59 0.192129
34 47 7886.02 0.394301 3726.55 0.186327
35 46 5636.01 0.281801 3621.52 0.181076
36 45 3949.2  0.19746 3504.75 0.175238
37 44 2891.48 0.144574 3429.89 0.171494
38 43 2255.91 0.112795 3319.55 0.165977
39 42 1744.57 0.0872285 3218.44 0.160922
40 41 1336.15 0.0668075 3097.78 0.154889
41 40 1215.39 0.0607695 3110.8 0.15554
42 39 1022.7 0.051135 3010.84 0.150542
43 38 859.91 0.0429955 2917.48 0.145874
44 37 755.98 0.037799 2811.13 0.140557
45 36 675.97 0.0337985 2745.91 0.137295
46 35 603.52 0.030176 2662.35 0.133117
47 34 552.82 0.027641 2570.76 0.128538
48 33 513.78 0.025689 2512.55 0.125628
49 32 478.89 0.0239445 2421.81 0.121091
50 31 449.08 0.022454 2347.18 0.117359
51 30 413.31 0.0206655 2247.51 0.112376
52 29 376.68 0.018834 2111.81 0.10559
53 28 359.79 0.0179895 2043.1 0.102155
54 27 344.07 0.0172035 1972.49 0.0986245
55 26 327.42 0.016371 1907.2 0.09536
56 25 312.5 0.015625 1846.5 0.092325
57 24 298.68 0.014934 1799.72 0.089986
58 23 287.42 0.014371 1741.68 0.087084
59 22 276.86 0.013843 1685.03 0.0842515
60 21 267.13 0.0133565 1630.86 0.081543
61 20 257.45 0.0128725 1598.25 0.0799125
62 19 249.04 0.012452 1567.63 0.0783815
63 18 225.27 0.0112635 1439.66 0.071983
64 17 214.8 0.01074 1382.66 0.069133
65 16 209.64 0.010482 1357.83 0.0678915
66 15 200.85 0.0100425 1318.84 0.065942
67 14 197.82 0.009891 1309.97 0.0654985
68 13 189.12 0.009456 1277.49 0.0638745
69 12 181.82 0.009091 1252.3 0.062615
70 11 171.46 0.008573 1210.13 0.0605065
71 10 164.32 0.008216 1188.71 0.0594355
72 9 165.19 0.0082595 1222.6 0.06113
73 8 157.18 0.007859 1201.97 0.0600985
74 7 148.1 0.007405 1181.98 0.059099
75 6 140.26 0.007013 1163.56 0.058178
76 5 131.42 0.006571 1146.27 0.0573135
77 4 122.41 0.0061205 1133.78 0.056689
78 3 113.07 0.0056535 1117.82 0.055891
79 2 99.12 0.004956 1110.21 0.0555105
80 1 77.28 0.003864 1101.35 0.0550675
