depth: sudoku
 0: 5.86.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 1: 5.86.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 2: 5186.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 3: 5186.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 4: 5186.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 5: 518624.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 6: 518624.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 7: 518624793.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 8: 518624793.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 9: 518624793.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
10: 51862479339...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
11: 51862479339...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793392..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247933925.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793397..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247933975.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
10: 51862479369...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
11: 51862479369...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793692..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247936925.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
14: 518624793692531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
15: 518624793692531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
16: 51862479369253148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
17: 51862479369253148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793693..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247936935.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793697..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247936975.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
14: 518624793697531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
15: 518624793697531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
16: 51862479369753148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
17: 51862479369753148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
18: 518624793697531482.4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
19: 51862479369753148234.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
20: 51862479369753148234.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
21: 5186247936975314823427..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
22: 5186247936975314823427..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
23: 51862479369753148234278.6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
24: 5186247936975314823427896.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
25: 5186247936975314823427896.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
23: 51862479369753148234279.6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
24: 5186247936975314823427986.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
25: 5186247936975314823427986.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
10: 51862479379...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
11: 51862479379...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793792..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247937925.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
14: 518624793792531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
15: 518624793792531.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
16: 51862479379253148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
17: 51862479379253148..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 518624793793..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5186247937935.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 2: 5786.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 3: 5786.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 4: 5786.4.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 5: 578624.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 6: 578624.93.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 7: 578624193.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 8: 578624193.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
 9: 578624193.9...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
10: 57862419339...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
11: 57862419339...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 578624193392..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
13: 5786241933925.1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
10: 57862419369...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
11: 57862419369...1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
12: 578624193692..1.8..4.7..6.5269.5.8.11..2.6.5......3267...84257..2.1....84.637..1.
